,name,latitude,longitude,price,hostStart,propType
208,"Amazing Paradise Encounter, Hilo - Volcano",19.58132,-155.0083,154.00,2012-01-14,House
209,Poipu Beach Guest House Flamingo,21.88158,-159.47325,160.00,2009-03-19,Apartment
210,Green Flash Guest House / Ohana,20.02342,-155.6971,89.00,2012-01-19,Guest suite
211,"Pacific Room, Edge of the World B&B",19.489079999999998,-155.90993999999998,129.00,2012-01-23,House
212,2BR Buddha's Hawaiian Retreat,19.600089999999998,-154.94495,240.00,2011-12-25,Apartment
213,2BR Hawaiian Ocean Retreat,19.59964,-154.94513,240.00,2011-12-25,Apartment
214,West Kauai hotel rooms in Waimea,21.9573,-159.67141,230.00,2012-01-27,Boutique hotel
215,"Lovely Apt, Aina Nalu Lahaina I109",20.87454,-156.67591000000002,199.00,2011-07-28,Apartment
216,Best Ocean View in Hawaii Room,19.478679999999997,-155.89917,139.00,2012-01-23,Bed and breakfast
217,Balai Kona Tropical Paradise,19.7183,-155.99142,80.00,2012-02-04,House
218,Hilltop Legacy in Downtown Hilo Bay,19.71726,-155.09835,540.00,2011-11-19,House
219,Ocean View Master Bedroom Suite,19.7206,-155.98429,95.00,2011-08-04,House
220,Hilltop Legacy | Hilo Bay Room,19.71831,-155.09656999999999,69.00,2011-11-19,House
221,Hilltop Legacy | Volcano Room,19.71888,-155.09601999999998,89.00,2011-11-19,House
222,Hilltop Legacy | Sky Room,19.71855,-155.09633,109.00,2011-11-19,House
223,Hilltop Legacy | Legacy Suite,19.71905,-155.09625,109.00,2011-11-19,House
224,Honaunau Farm Wellness Retreat - Tent Cottage,19.4504,-155.8732,119.00,2010-11-10,Tent
225,OCEANVIEW. Downtown! Clean & Sunny! (Plus HI tax.),19.63751,-155.99153,120.00,2012-02-15,Condominium
226,Lahaina Town -  Walk to the Ocean G14,20.87344,-156.67592,269.00,2011-09-06,Apartment
227,Beautiful  Aina Nalu A27,20.8733,-156.67425,225.00,2011-09-06,Apartment
228,Open Palms Plantation Family Friendly Unit,21.33845,-157.73108,225.00,2012-02-20,House
229,Kauai Retreat Center 'Elima Room #5 taxes included,22.1873,-159.36668999999998,134.00,2012-02-20,Bed and breakfast
230,Spacious Retreat - Last Min. pecial as low as 79,19.723129999999998,-155.9951,83.00,2012-02-23,Guest suite
231,Oceanfront Makaha 5 BR/3.5BA  Remote and Secluded,21.468000000000004,-158.21526,677.00,2012-02-24,House
232,Ocean Lookout - 200 degree ocean views!,20.91208,-156.2186,395.00,2012-03-01,House
233,Hawaii Basecamp to Sun & Surf ❤️,21.28632,-157.83227,130.00,2012-03-06,Apartment
234,Hawaii Basecamp to Adventure ❤️,21.28612,-157.8333,130.00,2012-03-06,Apartment
235,Seaside Lush Tropical  Maui Condo,20.7086,-156.44333,165.00,2011-12-04,Condominium
